Time,,Flow,Stage
2.28125,,89.871,2.256
2.291666667,,91.214,2.275
2.302083333,,92.132,2.288
2.3125,,93.402,2.306
2.322916667,,94.177,2.317
2.333333333,,95.093,2.33
2.34375,,95.726,2.339
2.354166667,,96.499,2.35
2.364583333,,96.851,2.355
2.375,,96.781,2.354
2.385416667,,96.781,2.354
2.395833333,,96.851,2.355
2.40625,,97.132,2.359
2.416666667,,96.71,2.353
2.427083333,,96.499,2.35
2.4375,,95.796,2.34
2.447916667,,94.459,2.321
2.458333333,,93.613,2.309
2.46875,,92.626,2.295
2.479166667,,91.85,2.284
2.489583333,,90.932,2.271
2.5,,89.659,2.253
2.510416667,,89.163,2.246
2.520833333,,88.243,2.233
2.53125,,87.109,2.217
2.541666667,,86.896,2.214
2.552083333,,85.76,2.198
2.5625,,85.263,2.191
2.572916667,,84.338,2.178
2.583333333,,84.054,2.174
2.59375,,83.128,2.161
2.604166667,,82.202,2.148
2.614583333,,81.203,2.134
2.625,,80.561,2.125
2.635416667,,79.989,2.117
2.645833333,,79.56,2.111
2.65625,,78.774,2.1
2.666666667,,78.129,2.091
2.677083333,,77.771,2.086
2.6875,,76.839,2.073
2.697916667,,76.624,2.07
2.708333333,,75.907,2.06
2.71875,,76.05,2.062
2.729166667,,75.26,2.051
2.739583333,,74.757,2.044
2.75,,74.326,2.038
2.760416667,,74.326,2.038
2.770833333,,73.534,2.027
2.78125,,73.03,2.02
2.791666667,,72.814,2.017
2.802083333,,72.526,2.013
2.8125,,71.516,1.999
2.822916667,,71.516,1.999
2.833333333,,71.588,2
2.84375,,70.577,1.986
2.854166667,,70.794,1.989
2.864583333,,70.866,1.99
2.875,,70.071,1.979
2.885416667,,70.143,1.98
2.895833333,,70.071,1.979
2.90625,,70.216,1.981
2.916666667,,70.36,1.983
2.927083333,,70.433,1.984
2.9375,,70.577,1.986
2.947916667,,71.01,1.992
2.958333333,,71.444,1.998
2.96875,,71.949,2.005
2.979166667,,72.814,2.017
2.989583333,,73.894,2.032
3,,75.835,2.059
3.010416667,,77.054,2.076
3.020833333,,78.774,2.1
3.03125,,80.989,2.131
3.041666667,,82.843,2.157
3.052083333,,83.84,2.171
3.0625,,86.044,2.202
